ITAG,cluster,symbol,gene_name
Solyc04g007240,1,ATIPT1,Encodes a putative adenylate isopentenyltransferase which catalyzes the formation of isopentenyladenosine 5'-monophosphate (iPMP) from AMP and dimethylallylpyrophosphate (DMAPP). Involved in cytokinin biosynthesis.
Solyc04g007250,1,NA,NA
Solyc04g007510,1,NA,"ATP binding / helicase/ nucleic acid binding; similar to ATP binding / helicase/ nucleic acid binding [Arabidopsis thaliana] (TAIR:AT5G04895.1); similar to helicase domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G35920.1); similar to helicase domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G48650.1); similar to putative helicase [Oryza sativa] (GB:AAL58955.1); similar to putative DEAD/H box polypeptide 36 protein [Oryza sativa (japonica cultivar-group)] (GB:BAD52491.1); similar to Helicase associated domain family protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF98878.1); contains InterPro domain Helicase-associated region; (InterPro:IPR007502); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain Protein of unknown function DUF1605; (InterPro:IPR011709); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650); contains InterPro domain Double-stranded RNA binding; (InterPro:IPR001159)"
Solyc04g009153,1,NA,NA
Solyc04g049555,1,NA,NA
Solyc04g071770,1,NA,NA
Solyc04g072310,1,NA,NA
Solyc04g074380,1,AtUGT85A3,"transcription factor/ transferase, transferring glycosyl groups; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22360.1); similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22340.1); similar to UGT85A1 (UDP-glucosyl transferase 85A1), UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups [Arabidopsis thaliana] (TAIR:AT1G22400.1); similar to glycosyltransferase NTGT5b [Nicotiana tabacum] (GB:BAD93690.1); similar to glycosyltransferase NTGT5a [Nicotiana tabacum] (GB:BAD93689.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
Solyc04g074390,1,AtUGT85A2,"UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22340.1); similar to transcription factor/ transferase, transferring glycosyl groups [Arabidopsis thaliana] (TAIR:AT1G22380.1); similar to UGT85A1 (UDP-glucosyl transferase 85A1), UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups [Arabidopsis thaliana] (TAIR:AT1G22400.1); similar to glycosyltransferase NTGT5b [Nicotiana tabacum] (GB:BAD93690.1); similar to glycosyltransferase NTGT5a [Nicotiana tabacum] (GB:BAD93689.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
Solyc04g076850,1,IAA9,auxin (indole-3-acetic acid) induced gene
Solyc04g079340,1,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42690.2); similar to Os03g0859900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051971.1); similar to Os09g0463300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063405.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAP44737.1); contains InterPro domain Protein of unknown function DUF547; (InterPro:IPR006869)
Solyc04g080955,1,NA,NA
Solyc04g081710,1,NA,NA
Solyc05g005735,1,NA,NA
Solyc05g007870,1,NA,NA
Solyc05g051810,1,NA,NA
Solyc05g051820,1,NA,heavy-metal-associated domain-containing protein / copper chaperone (CCH)-related; similar to heavy-metal-associated domain-containing protein / copper chaperone (CCH)-related [Arabidopsis thaliana] (TAIR:AT4G08570.1); similar to Heavy metal transport/detoxification protein [Medicago truncatula] (GB:ABE94521.1); contains InterPro domain Heavy metal transport/detoxification protein; (InterPro:IPR006121)
Solyc05g051880,1,NA,"trehalose-6-phosphate phosphatase, putative; similar to trehalose-phosphatase [Arabidopsis thaliana] (TAIR:AT2G22190.1); similar to 117M18_9 [Brassica rapa] (GB:AAZ66928.1); contains InterPro domain Trehalose-phosphatase; (InterPro:IPR003337); contains InterPro domain HAD-superfamily hydrolase subfamily IIB; (InterPro:IPR006379)"
Solyc06g005700,1,NA,NA
Solyc06g019200,1,ATEGY2,"S2P-like putative metalloprotease, also contain transmembrane helices near their C-termini and many of them, five of seven, contain a conserved zinc-binding motif HEXXH. Homolog of EGY1. Each of the EGY1 and EGY-like proteins share two additional highly conserved motifs, the previously reported NPDG motif (aa 442â€“454 in EGY1, Rudner et al., 1999) and a newly defined GNLR motif (aa 171â€“179 in EGY1). The GNLR motif is a novel signature motif unique to EGY1 and EGY-like proteins as well as other EGY1 orthologs found in cyanobacteria."
Solyc06g036030,1,NA,oxidoreductase/ transition metal ion binding; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G23890.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABG00038.1); similar to Os03g0862100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051986.1); contains InterPro domain S-layer homology region; (InterPro:IPR001119); contains InterPro domain Ferritin/ribonucleotide reductase-like; (InterPro:IPR009078)
Solyc06g054640,1,NA,NA
Solyc06g082830,1,NA,NA
Solyc07g040940,1,NA,"protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT2G19410.1); similar to Os06g0574200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057924.1); similar to U-box domain containing protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF93477.1); similar to Os02g0218600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046306.1); contains InterPro domain UspA; (InterPro:IPR006016); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain U box; (InterPro:IPR003613)"
Solyc07g053320,1,NA,NA
Solyc07g054580,1,DFL2,Encodes a GH3-related gene involved in red light-specific hypocotyl elongation.  Analysis of sense and antisense transgenic plants suggests that DFL2 is located downstream of red light signal transduction and determines the degree of hypocotyl elongation.
Solyc08g007600,1,NA,NA
Solyc08g008120,1,NA,similar to Os03g0125700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048819.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF93748.1)
Solyc08g015620,1,NA,NA
Solyc08g066100,1,PFK3,"phosphofructokinase family protein; similar to phosphofructokinase family protein [Arabidopsis thaliana] (TAIR:AT4G32840.1); similar to phosphofructokinase family protein [Arabidopsis thaliana] (TAIR:AT5G56630.1); similar to phosphofructokinase family protein [Arabidopsis thaliana] (TAIR:AT4G29220.1); similar to Phosphofructokinase [Medicago truncatula] (GB:ABE84859.1); similar to Phosphofructokinase, putative [Medicago truncatula] (GB:ABE90419.1); similar to Phosphofructokinase [Medicago truncatula] (GB:ABE80791.1); contains InterPro domain Pyrophosphate-dependent phosphofructokinase TP0108; (InterPro:IPR012004); contains InterPro domain Phosphofructokinase; (InterPro:IPR000023)"
Solyc08g068490,1,DFL2,Encodes a GH3-related gene involved in red light-specific hypocotyl elongation.  Analysis of sense and antisense transgenic plants suggests that DFL2 is located downstream of red light signal transduction and determines the degree of hypocotyl elongation.
Solyc08g075870,1,ERD3,"ERD3 (EARLY-RESPONSIVE TO DEHYDRATION 3); similar to dehydration-responsive protein, putative [Arabidopsis thaliana] (TAIR:AT1G31850.2); similar to dehydration-responsive protein-like [Oryza sativa (japonica cultivar-group)] (GB:BAD67956.1); similar to Os06g0103900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056546.1); contains InterPro domain Protein of unknown function DUF248, methyltransferase putative; (InterPro:IPR004159)"
Solyc08g077110,1,NAC071,"ANAC071 (Arabidopsis NAC domain containing protein 71); transcription factor; similar to ANAC096 (Arabidopsis NAC domain containing protein 96), transcription factor [Arabidopsis thaliana] (TAIR:AT5G46590.1); similar to nam-like protein 11 [Petunia x hybrida] (GB:AAM34774.1); contains InterPro domain No apical meristem (NAM) protein; (InterPro:IPR003441)"
Solyc08g082590,1,NA,NA
Solyc09g007020,1,ATPRB1,"pathogenesis related protein, encodes a basic PR1-like protein. Expresses in flowers, roots, and not in leaves and responses to ethylene and methyl jasmonate. Salicylic acid represses gene expression."
Solyc09g009840,1,NA,NA
Solyc09g014530,1,NA,NA
Solyc09g015070,1,NA,"aldose reductase, putative; similar to oxidoreductase [Arabidopsis thaliana] (TAIR:AT2G37770.2); similar to Aldose reductase (AR) (Aldehyde reductase) (GB:P23901); contains InterPro domain Aldo/keto reductase; (InterPro:IPR001395)"
Solyc09g055310,1,ATEOL1,"Encodes a negative regulator of 1-aminocyclopropane-1-carboxylic acid synthase5(ACS5), which catalyze the rate-limiting step in ethylene biosynthesis. ETO1 directly interacts with ACS5 and inhibits its enzyme activity and targets it for degradation via proteasome-dependent pathway. It also interacts with CUL3 (a component of ubiquitin ligase complexes). eto1 (and eto3) mutations elevate ethylene biosynthesis by affecting the posttranscriptional regulation of ACS"
Solyc09g064480,1,KAM1,Encodes a xyloglucan galactosyltransferase located in the membrane of Golgi stacks that is involved in the biosynthesis of fucose.  It is also involved in endomembrane organization. It is suggested that it is a dual-function protein that is responsible for actin organization and the synthesis of cell wall materials.
Solyc09g076057,1,NA,NA
Solyc09g090150,1,NA,NA
Solyc09g090170,1,NA,NA
Solyc09g090180,1,NA,NA
Solyc10g008480,1,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G03610.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAO39871.1); similar to Os10g0494000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064942.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAP46235.1); contains InterPro domain Protein of unknown function DUF789; (InterPro:IPR008507)
Solyc10g079860,1,BG1,encodes a member of glycosyl hydrolase family 17
Solyc11g020770,1,NA,NA
Solyc11g028070,1,NA,NA
Solyc11g045523,1,NA,NA
Solyc11g071820,1,NA,protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT3G19300.1); similar to Os07g0159700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058933.1); similar to H0814G11.12 [Oryza sativa (indica cultivar-group)] (GB:CAJ86345.1); similar to Os04g0689400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054345.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245)
Solyc12g009830,1,NA,NA
Solyc12g013870,1,NA,RNA-binding S4 domain-containing protein; similar to S4 domain protein-like [Oryza sativa (japonica cultivar-group)] (GB:BAD86964.1); similar to Os01g0747700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044235.1); contains InterPro domain RNA-binding S4; (InterPro:IPR002942)
Solyc12g019955,1,NA,NA
Solyc12g021365,1,NA,NA
Solyc12g036220,1,NA,"exonuclease family protein; similar to exonuclease family protein [Arabidopsis thaliana] (TAIR:AT5G61390.1); similar to Os10g0407500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064570.1); similar to exonuclease family protein, putative, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABG66074.1); contains InterPro domain Exonuclease; (InterPro:IPR006055); contains InterPro domain Polynucleotidyl transferase, Ribonuclease H fold; (InterPro:IPR012337); contains InterPro domain Exonuclease, RNase T and DNA polymerase III; (InterPro:IPR013520)"
Solyc12g036285,1,NA,NA
Solyc12g055730,1,NA,"lipase class 3 family protein; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G45201.1); similar to lipase [Ricinus communis] (GB:AAV66577.1); contains InterPro domain Lipase, class 3; (InterPro:IPR002921)"
Solyc12g097060,1,NA,NA
Solyc00g110870,2,NA,"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT1G64210.1); similar to putative receptor-like kinase [Oryza sativa (japonica cultivar-group)] (GB:BAA94519.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
Solyc01g006960,2,NA,binding; similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF99240.1); similar to Os03g0786900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051493.1); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)
Solyc01g010310,2,NA,NA
Solyc01g034155,2,NA,NA
Solyc01g050047,2,NA,NA
Solyc01g058400,2,NA,NA
Solyc01g080860,2,COX10,COX10 (CYTOCHROME C OXIDASE 10); prenyltransferase; similar to Os01g0527700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043230.1); similar to Heme A farnesyltransferase (ISS) [Ostreococcus tauri] (GB:CAL51914.1); contains InterPro domain UbiA prenyltransferase; (InterPro:IPR000537); contains InterPro domain Protoheme IX farnesyltransferase; (InterPro:IPR006369)
Solyc01g080930,2,CHY1,hydrolyzes beta-hydroxyisobutyryl-CoA
Solyc01g086920,2,NA,"leucine-rich repeat family protein; similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT5G12940.1); similar to polygalacturonase inhibitor-like protein [Cicer arietinum] (GB:CAD56505.1); contains InterPro domain Rudiment single hybrid motif; (InterPro:IPR011054); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
Solyc01g086950,2,NA,NA
Solyc01g087385,2,NA,NA
Solyc01g087410,2,NA,NA
Solyc01g102990,2,NA,"ATP-dependent Clp protease ATP-binding subunit ClpX, putative; similar to ATP-dependent Clp protease ATP-binding subunit ClpX, putative [Arabidopsis thaliana] (TAIR:AT1G33360.1); similar to putative ATP-dependent Clp protease ATP-binding subunit ClpX1 (CLPX) [Oryza sativa (japonica cultivar-group)] (GB:BAD15818.1); contains InterPro domain ATPase AAA-2; (InterPro:IPR013093); contains InterPro domain ClpX, ATPase regulatory subunit; (InterPro:IPR004487); contains InterPro domain AAA ATPase; (InterPro:IPR003593)"
Solyc01g109970,2,CHR35,"Putative chromatin remodeling protein, member of a plant-specific subfamily of SWI2/SNF2-like proteins.  Mutations nearly eliminate non-CpG methylation at a target promoter but do not affect rDNA or centromere methylation.  Cooperates with PolIVb to facilitate RNA-directed de novo methylation and silencing of homologous DNA.  Endogenous targets include intergenic regions near retrotransposon LTRs or short RNA encoding sequences that might epigenetically regulate adjacent genes.  May be used to establish a basal yet reversible level of silencing in euchromatin."
Solyc02g036370,2,NA,NA
Solyc02g037590,2,NA,NA
Solyc02g067620,2,NA,NA
Solyc02g091120,2,AtLIG6,"ATP dependent DNA ligase family protein; similar to ATLIG1 (ARABIDOPSIS THALIANA DNA LIGASE 1), ATP binding / DNA ligase (ATP) [Arabidopsis thaliana] (TAIR:AT1G08130.1); similar to ATP-dependent DNA ligase; DNA repair metallo-beta-lactamase; RNA-metabolising metallo-beta-lactamase [Medicago truncatula] (GB:ABE93666.1); contains InterPro domain DNA repair metallo-beta-lactamase; (InterPro:IPR011084); contains InterPro domain ATP dependent DNA ligase, central; (InterPro:IPR012310); contains InterPro domain ATP-dependent DNA ligase; (InterPro:IPR000977); contains InterPro domain ATP dependent DNA ligase, C-terminal; (InterPro:IPR012309); contains InterPro domain DNA ligase, N-terminal; (InterPro:IPR012308)"
Solyc03g007970,2,NA,NA
Solyc03g026315,2,NA,NA
Solyc03g033550,2,NA,NA
Solyc03g033825,2,NA,NA
Solyc03g034417,2,NA,NA
Solyc03g044028,2,NA,NA
Solyc03g058917,2,NA,NA
Solyc03g063090,2,NA,NA
Solyc03g063260,2,NA,NA
Solyc03g063640,2,NA,NA
Solyc03g071533,2,NA,NA
Solyc03g071650,2,NA,NA
Solyc04g009970,2,NA,SWIM zinc finger family protein; similar to zinc ion binding [Arabidopsis thaliana] (TAIR:AT4G13970.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:BAC84431.1); similar to Os09g0309100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062830.1); similar to Os07g0227700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059218.1)
Solyc04g010120,2,NA,"similar to protein binding / zinc ion binding [Arabidopsis thaliana] (TAIR:AT4G37880.1); similar to Lissencephaly type-1-like homology motif; CTLH, C-terminal to LisH motif [Medicago truncatula] (GB:ABE91354.1); contains InterPro domain CTLH, C-terminal to LisH motif; (InterPro:IPR006595); contains InterPro domain CT11-RanBPM; (InterPro:IPR013144); contains InterPro domain Lissencephaly type-1-like homology motif; (InterPro:IPR006594)"
Solyc04g026272,2,NA,NA
Solyc04g071570,2,NA,NA
Solyc04g077600,2,NA,NA
Solyc04g082570,2,ATPUB44,"armadillo/beta-catenin repeat protein-related / U-box domain-containing protein; similar to binding / ubiquitin-protein ligase [Arabidopsis thaliana] (TAIR:AT1G76390.2); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAP50990.1); similar to armadillo/beta-catenin repeat family protein, putative, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABA97086.1); similar to Os03g0657100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001050813.1); contains InterPro domain Armadillo; (InterPro:IPR000225); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989); contains InterPro domain U box; (InterPro:IPR003613)"
Solyc05g009660,2,PAN,Encodes bZIP-transcription factor. Mutant plants have extra floral organs.
Solyc05g021105,2,NA,NA
Solyc05g023750,2,AGD3,"Belongs to 15-member small GTPase gene family, ARF-GAP domain proteins (AGD); corresponds to AGD3, and is one of four proteins belonging to class 1, together with AGD1, AGD2 and AGD4. The protein contains four domains: BAR domain, PH domain, an ARF-GAP domain, and two Ankyrin repeats. In sfc mutants, the secondary and tertiary veins of cotyledons, leaves, sepals and petals are largely replaced by small segments of discontinuous veins. sfc mutants have exaggerated responses to auxin."
Solyc05g024380,2,NA,NA
Solyc05g041443,2,NA,NA
Solyc05g043400,2,NA,NA
Solyc05g043410,2,NA,NA
Solyc05g044580,2,NA,NA
Solyc05g044590,2,NA,NA
Solyc05g046110,2,NA,fringe-related protein; similar to fringe-related protein [Arabidopsis thaliana] (TAIR:AT4G15240.1); similar to hypothetical protein [Trifolium pratense] (GB:BAE71200.1); contains InterPro domain Protein of unknown function DUF604; (InterPro:IPR006740)
Solyc05g051060,2,NA,NA
Solyc05g054150,2,AtRABA5a,"AtRABA5a (Arabidopsis Rab GTPase homolog A5a); GTP binding; similar to AtRABA5d (Arabidopsis Rab GTPase homolog A5d), GTP binding [Arabidopsis thaliana] (TAIR:AT2G31680.1); similar to Ras-related GTP-binding protein, putative [Brassica oleracea] (GB:ABD64936.1); contains InterPro domain Small GTP-binding protein domain; (InterPro:IPR005225); contains InterPro domain Ras small GTPase, Rab type; (InterPro:IPR003579); contains InterPro domain Ras GTPase; (InterPro:IPR001806); contains InterPro domain Ras; (InterPro:IPR013753)"
Solyc05g054365,2,NA,NA
Solyc06g009060,2,NA,NA
Solyc06g036550,2,NA,NA
Solyc06g048890,2,NA,HEAT repeat-containing protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G71410.1); similar to putative kinase-like protein splice variant 1 [Oryza sativa (japonica cultivar-group)] (GB:BAD73565.1); similar to Os01g0819900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044644.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain HEAT; (InterPro:IPR000357)
Solyc06g050210,2,NA,similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABA96262.1); similar to Os12g0112300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065973.1)
Solyc07g008710,2,NA,NA
Solyc07g018390,2,NA,NA
Solyc07g025525,2,NA,NA
Solyc07g038105,2,NA,NA
Solyc07g039440,2,NA,NA
Solyc07g041830,2,NA,NA
Solyc07g042020,2,NA,NA
Solyc07g052910,2,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G21310.1); similar to Os07g0545100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059913.1); similar to Os05g0435100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055641.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAT47054.1); contains InterPro domain Protein of unknown function DUF1218; (InterPro:IPR009606)
Solyc07g062860,2,NA,proteasome-related; similar to hypothetical protein [Trifolium pratense] (GB:BAE71213.1); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989); contains InterPro domain HEAT; (InterPro:IPR000357)
