"ITAG","cluster","AGI","gene_name"
"Solyc00g009090",2,"AT1G34110","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G24240.1); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G48940.1); similar to ATP binding / protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT5G56040.2); similar to putative Receptor-like protein kinase precursor [Oryza sativa (japonica cultivar-group)] (GB:BAD46328.1); similar to receptor protein kinase [Pinus sylvestris] (GB:CAC20842.1); similar to CLAVATA-like kinase [Triticum aestivum] (GB:CAJ19346.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"Solyc00g009110",3,"AT1G71710","inositol polyphosphate 5-phosphatase, putative; similar to IP5PI (INOSITOL POLYPHOSPHATE 5-PHOSPHATASE I), inositol-polyphosphate 5-phosphatase [Arabidopsis thaliana] (TAIR:AT1G34120.1); similar to Os01g0716800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044072.1); similar to putative inositol-1,4,5-trisphosphate 5-phosphatase [Oryza sativa (japonica cultivar-group)] (GB:AAS75232.1); similar to Os01g0183300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042225.1); contains InterPro domain Inositol polyphosphate related phosphatase; (InterPro:IPR000300); contains InterPro domain Endonuclease/exonuclease/phosphatase; (InterPro:IPR005135)"
"Solyc00g009141",3,NA,NA
"Solyc00g009142",4,NA,NA
"Solyc00g009143",4,NA,NA
"Solyc00g009144",4,NA,NA
"Solyc00g009145",12,NA,NA
"Solyc00g009146",5,NA,NA
"Solyc00g009148",5,NA,NA
"Solyc00g009650",3,NA,NA
"Solyc00g009760",1,NA,NA
"Solyc00g009765",1,NA,NA
"Solyc00g010410",1,NA,NA
"Solyc00g010420",1,NA,NA
"Solyc00g010520",1,NA,NA
"Solyc00g010525",1,NA,NA
"Solyc00g010530",1,NA,NA
"Solyc00g010750",1,"AT5G46070","GTP binding / GTPase; similar to guanylate-binding family protein [Arabidopsis thaliana] (TAIR:AT1G03830.1); similar to Guanylate-binding protein, N-terminal domain containing protein [Tetrahymena thermophila SB210] (GB:XP_001018996.1); similar to Os02g0307000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046641.1); contains InterPro domain Guanylate-binding protein; (InterPro:IPR003191)"
"Solyc00g010755",2,NA,NA
"Solyc00g010780",2,NA,NA
"Solyc00g010930",2,NA,NA
"Solyc00g011150",1,NA,NA
"Solyc00g011160",1,NA,NA
"Solyc00g011170",1,NA,NA
"Solyc00g011175",3,NA,NA
"Solyc00g011670",1,NA,NA
"Solyc00g011673",1,NA,NA
"Solyc00g011677",1,NA,NA
"Solyc00g011870",1,"AT4G31860","protein phosphatase 2C, putative / PP2C, putative; similar to protein phosphatase 2C, putative / PP2C, putative [Arabidopsis thaliana] (TAIR:AT2G25070.1); similar to Os06g0651600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058229.1); similar to putative protein phosphatase type-2C [Oryza sativa (japonica cultivar-group)] (GB:BAD38121.1); similar to Os02g0180000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046088.1); contains InterPro domain Protein phosphatase 2C-like; (InterPro:IPR001932)"
"Solyc00g011880",1,"AT2G24390","similar to avirulence-responsive protein-related / avirulence induced gene (AIG) protein-related [Arabidopsis thaliana] (TAIR:AT4G31310.1); similar to Os02g0141000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045856.1); similar to hypothetical protein SNOG_11054 [Phaeosphaeria nodorum SN15] (GB:EAT81553.1); similar to conserved hypothetical protein [Caldicellulosiruptor saccharolyticus DSM 8903] (GB:ZP_00885054.1); contains InterPro domain AIG2-like; (InterPro:IPR009288)"
"Solyc00g011895",3,NA,NA
"Solyc00g012430",1,NA,NA
"Solyc00g012435",4,NA,NA
"Solyc00g012440",1,NA,NA
"Solyc00g012540",3,NA,NA
"Solyc00g012640",3,NA,NA
"Solyc00g012650",3,NA,NA
"Solyc00g012660",3,NA,NA
"Solyc00g012670",3,NA,NA
"Solyc00g012680",3,NA,NA
"Solyc00g012690",3,NA,NA
"Solyc00g012700",3,NA,NA
"Solyc00g012702",4,NA,NA
"Solyc00g012704",5,NA,NA
"Solyc00g012706",4,NA,NA
"Solyc00g012708",5,NA,NA
"Solyc00g013110",3,NA,NA
"Solyc00g013120",3,NA,NA
"Solyc00g013130",3,"ATMG01320","encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B."
"Solyc00g013133",3,NA,NA
"Solyc00g013137",3,NA,NA
"Solyc00g013150",3,NA,NA
"Solyc00g013155",3,NA,NA
"Solyc00g013160",3,NA,NA
"Solyc00g013170",3,NA,NA
"Solyc00g013180",3,"ATMG00580","NADH dehydrogenase subunit 4"
"Solyc00g013181",12,NA,NA
"Solyc00g013182",4,NA,NA
"Solyc00g013183",12,NA,NA
"Solyc00g013184",4,NA,NA
"Solyc00g013185",18,NA,NA
"Solyc00g013186",18,NA,NA
"Solyc00g013188",3,NA,NA
"Solyc00g014170",4,NA,NA
"Solyc00g014180",4,NA,NA
"Solyc00g014190",4,NA,NA
"Solyc00g014290",5,NA,NA
"Solyc00g014390",5,NA,NA
"Solyc00g014395",12,NA,NA
"Solyc00g014830",4,"ATMG00510","NADH dehydrogenase subunit 7"
"Solyc00g014980",4,NA,NA
"Solyc00g014990",4,NA,NA
"Solyc00g014995",4,NA,NA
"Solyc00g015000",4,"AT5G14620","A putative DNA methyltransferase with rearranged catalytic domains; similar to mammalian DNMT3 methyltransferases; contains UBA domains.  The 3'-end proximal part of the gene coding region is highly methylated at both adenine and cytosine residues."
"Solyc00g015600",4,NA,NA
"Solyc00g015720",4,"AT2G37730","fringe-related protein; similar to fringe-related protein [Arabidopsis thaliana] (TAIR:AT3G11420.1); similar to Os03g0269900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049681.1); similar to hypothetical protein [Trifolium pratense] (GB:BAE71200.1); contains InterPro domain Protein of unknown function DUF604; (InterPro:IPR006740)"
"Solyc00g015730",4,"AT2G37740","zinc finger (C2H2 type) family protein; similar to RBE (RABBIT EARS), nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] (TAIR:AT5G06070.1); similar to Zinc finger, C2H2-type [Medicago truncatula] (GB:ABE82910.1)"
"Solyc00g015733",4,NA,NA
"Solyc00g015735",12,NA,NA
"Solyc00g015737",12,NA,NA
"Solyc00g016915",12,NA,NA
"Solyc00g017235",12,NA,NA
"Solyc00g017933",3,NA,NA
"Solyc00g018970",1,NA,NA
"Solyc00g021655",5,NA,NA
"Solyc00g022107",12,NA,NA
"Solyc00g024695",2,NA,NA
"Solyc00g026160",6,"AT5G23980","Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."
"Solyc00g026165",17,NA,NA
"Solyc00g026907",12,NA,NA
"Solyc00g030000",17,NA,NA
"Solyc00g030105",12,NA,NA
"Solyc00g030215",17,NA,NA
"Solyc00g030520",17,NA,NA
"Solyc00g032943",5,NA,NA
"Solyc00g032945",17,NA,NA
"Solyc00g036964",4,NA,NA
"Solyc00g042852",12,NA,NA
"Solyc00g044350",17,NA,NA
"Solyc00g044750",12,NA,NA
"Solyc00g044755",17,NA,NA
"Solyc00g050430",22,NA,NA
"Solyc00g052430",12,"ATMG00180","cytochrome c biogenesis orf452"
"Solyc00g055985",4,NA,NA
"Solyc00g056180",9,NA,NA
"Solyc00g056680",2,"AT4G16820","lipase class 3 family protein; similar to DAD1 (DEFECTIVE ANTHER DEHISCENCE 1), triacylglycerol lipase [Arabidopsis thaliana] (TAIR:AT2G44810.1); similar to lipase-like protein [Oryza sativa] (GB:CAC39051.1); similar to Os02g0653900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047607.1); contains InterPro domain Lipase, class 3; (InterPro:IPR002921)"
"Solyc00g057280",9,NA,NA
"Solyc00g057885",9,NA,NA
"Solyc00g058480",5,NA,NA
"Solyc00g058900",9,NA,NA
"Solyc00g059500",1,"AT1G13560","Encodes aminoalcoholphosphotransferase AAPT1."
"Solyc00g059503",2,NA,NA
"Solyc00g059505",9,NA,NA
"Solyc00g059507",2,NA,NA
"Solyc00g060700",2,NA,NA
"Solyc00g060710",2,NA,NA
"Solyc00g060810",2,NA,NA
"Solyc00g066155",4,NA,NA
"Solyc00g068980",1,NA,NA
"Solyc00g068985",4,NA,NA
"Solyc00g069680",4,NA,NA
"Solyc00g069880",3,NA,NA
"Solyc00g069883",17,NA,NA
"Solyc00g069887",3,NA,NA
"Solyc00g071180",4,NA,NA
"Solyc00g071580",4,NA,NA
"Solyc00g071590",4,NA,NA
"Solyc00g071600",4,NA,NA
"Solyc00g072100",6,NA,NA
"Solyc00g072400",4,"AT5G05340","peroxidase, putative; Identical to Peroxidase 52 precursor (EC 1.11.1.7) (Atperox P52) (ATP49) (PER52) [Arabidopsis Thaliana] (GB:Q9FLC0); similar to peroxidase, putative [Arabidopsis thaliana] (TAIR:AT5G58400.1); similar to Peroxidase P7 (TP7) (GB:P00434); contains InterPro domain Haem peroxidase; (InterPro:IPR010255); contains InterPro domain Haem peroxidase, plant/fungal/bacterial; (InterPro:IPR002016); contains InterPro domain Plant peroxidase; (InterPro:IPR000823)"
"Solyc00g072405",3,NA,NA
"Solyc00g072800",4,NA,NA
"Solyc00g072805",5,NA,NA
"Solyc00g073900",4,NA,NA
"Solyc00g075035",35,NA,NA
"Solyc00g084650",4,NA,NA
"Solyc00g085070",7,"AT4G37760","squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"
"Solyc00g090110",1,NA,NA
"Solyc00g090115",5,NA,NA
"Solyc00g090130",1,NA,NA
"Solyc00g090430",1,NA,NA
"Solyc00g090640",1,NA,NA
"Solyc00g090650",1,NA,NA
"Solyc00g090660",1,NA,NA
"Solyc00g090860",1,"AT1G08090","High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake."
"Solyc00g090870",1,NA,NA
"Solyc00g092870",1,NA,NA
"Solyc00g092880",1,NA,NA
"Solyc00g092890",1,NA,NA
"Solyc00g092900",1,NA,NA
"Solyc00g093000",1,NA,NA
"Solyc00g093100",1,"AT1G73700","MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT2G34360.1); similar to MATE efflux protein-related [Arabidopsis thaliana] (TAIR:AT5G52450.1); similar to Os06g0495500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057690.1); similar to MATE efflux family protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABG65963.1); similar to Os06g0494400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057687.1); contains InterPro domain Multi antimicrobial extrusion protein MatE; (InterPro:IPR002528)"
"Solyc00g094010",1,NA,NA
"Solyc00g094020",1,NA,NA
"Solyc00g094520",1,NA,NA
"Solyc00g094530",1,"ATMG01275","Encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from three precursors, NAD1A, NAD1B, and NAD1C."
"Solyc00g094540",1,NA,NA
"Solyc00g094550",1,NA,NA
"Solyc00g095450",1,NA,NA
"Solyc00g095460",3,NA,NA
"Solyc00g095465",5,NA,NA
"Solyc00g095860",3,"AT3G61510","Encodes a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family. The gene is transcriptionally active but enzymatically inactive. The predicted amino-acid sequence of ACS1 is missing the highly conserved tripeptide, Thr-Asn-Pro (TNP), between Ile204 and Ser205. Introduction of TNP into ACS1 restores the ACS activity."
"Solyc00g096060",3,NA,NA
"Solyc00g096460",2,NA,NA
"Solyc00g097960",10,NA,NA
"Solyc00g098560",17,NA,NA
"Solyc00g099580",2,NA,NA
"Solyc00g100885",12,NA,NA
"Solyc00g101700",12,NA,NA
"Solyc00g102000",1,NA,NA
"Solyc00g102400",17,NA,NA
"Solyc00g110375",5,NA,NA
"Solyc00g110870",25,"AT4G23740","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT1G64210.1); similar to putative receptor-like kinase [Oryza sativa (japonica cultivar-group)] (GB:BAA94519.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"Solyc00g111175",12,NA,NA
"Solyc00g117657",20,NA,NA
"Solyc00g125275",5,NA,NA
"Solyc00g127870",17,"AT2G39445",NA
"Solyc00g128875",12,NA,NA
"Solyc00g129685",3,NA,NA
"Solyc00g141565",12,NA,NA
"Solyc00g143777",12,NA,NA
"Solyc00g145170",1,NA,NA
"Solyc00g147573",12,NA,NA
"Solyc00g160785",18,NA,NA
"Solyc00g167805",12,NA,NA
"Solyc00g170200",11,NA,NA
"Solyc00g170210",12,NA,NA
"Solyc00g170510",12,NA,NA
"Solyc00g170515",5,NA,NA
"Solyc00g171710",12,NA,NA
"Solyc00g171810",12,"ATMG00410","ATPase subunit 6"
"Solyc00g172410",12,NA,NA
"Solyc00g173430",12,NA,NA
"Solyc00g174340",12,"AT4G33720","pathogenesis-related protein, putative; similar to ATPRB1 (Arabidopsis thaliana basic pathogenesis-related protein 1) [Arabidopsis thaliana] (TAIR:AT2G14580.1); similar to pathogenesis-related protein 1a [Malus x domestica] (GB:ABC47922.1); contains InterPro domain Ves allergen; (InterPro:IPR002413); contains InterPro domain Allergen V5/Tpx-1 related; (InterPro:IPR001283)"
"Solyc00g174345",12,NA,NA
"Solyc00g178340",12,"AT1G10070","Encodes a chloroplast branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant."
"Solyc00g179240",12,"AT2G45660","Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of"
"Solyc00g180440",12,"ATCG00660","encodes a chloroplast ribosomal protein L20, a constituent of the large subunit of the ribosomal complex"
"Solyc00g180840",12,NA,NA
"Solyc00g181240",12,NA,NA
"Solyc00g181250",12,NA,NA
"Solyc00g183050",12,NA,NA
"Solyc00g183055",12,NA,NA
"Solyc00g183550",12,NA,NA
"Solyc00g183555",12,NA,NA
"Solyc00g187050",1,"AT4G30920","cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"
"Solyc00g212265",12,NA,NA
"Solyc00g213960",12,NA,NA
"Solyc00g215560",12,NA,NA
"Solyc00g215565",12,NA,NA
"Solyc00g217560",12,NA,NA
"Solyc00g217960",12,NA,NA
"Solyc00g218560",12,NA,NA
"Solyc00g222060",12,NA,NA
"Solyc00g222063",12,NA,NA
"Solyc00g222065",12,NA,NA
"Solyc00g222067",12,NA,NA
"Solyc00g226760",12,"AT2G03760","High similarity to flavonol sulfotransferases (FSTs). Differentially expressed during development, being more abundant in young seedlings and actively growing cell cultures. Expression induced in response to salicylic acid and methyl jasmonate and bacterial pathogens"
"Solyc00g227860",12,"AT2G22590","glycosyltransferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT5G65550.1); similar to putative anthocyanidine rhamnosyl-transferase [Capsicum annuum] (GB:AAM12787.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
"Solyc00g227960",12,NA,NA
"Solyc00g230060",12,NA,NA
"Solyc00g230070",12,"ATCG00280","chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element."
"Solyc00g230080",12,"ATCG00270","PSII D2 protein"
"Solyc00g230280",12,NA,NA
"Solyc00g231680",12,NA,NA
"Solyc00g231780",12,NA,NA
"Solyc00g233480",12,NA,NA
"Solyc00g237680",12,NA,NA
"Solyc00g240580",12,NA,NA
"Solyc00g244280",12,NA,NA
"Solyc00g244290",12,NA,NA
"Solyc00g244300",12,NA,NA
"Solyc00g244305",12,NA,NA
"Solyc00g247300",12,NA,NA
"Solyc00g247305",12,NA,NA
"Solyc00g273110",27,NA,NA
"Solyc00g277510",12,"ATCG00020","Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"
"Solyc00g278110",16,"AT2G37700","CER1 protein, putative; similar to CER1 protein, putative [Arabidopsis thaliana] (TAIR:AT1G02190.1); similar to Sterol desaturase [Medicago truncatula] (GB:ABD28319.1); contains InterPro domain SUR2-type hydroxylase/desaturase, catalytic region; (InterPro:IPR006087); contains InterPro domain Sterol desaturase; (InterPro:IPR006088)"
"Solyc00g280110",31,NA,NA
"Solyc00g281110",17,NA,NA
"Solyc00g282510",7,"AT2G37040","encodes a protein similar to phenylalanine ammonia-lyase"
"Solyc00g289230",12,"AT4G03230","S-locus lectin protein kinase family protein; similar to S-locus lectin protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G11330.1); similar to ARK3 (Arabidopsis Receptor Kinase 3), kinase [Arabidopsis thaliana] (TAIR:AT4G21380.1); similar to receptor protein kinase [Ipomoea trifida] (GB:AAC23542.1); contains InterPro domain Apple-like; (InterPro:IPR003609); contains InterPro domain S-locus glycoprotein; (InterPro:IPR000858); contains InterPro domain Curculin-like (mannose-binding) lectin; (InterPro:IPR001480); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain PAN-like, type 2; (InterPro:IPR013227); contains InterPro domain EGF-like, type 3; (InterPro:IPR000742); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"
"Solyc00g294233",12,NA,NA
"Solyc00g294237",12,NA,NA
"Solyc00g300730",12,"AT3G61790","seven in absentia (SINA) family protein; Identical to E3 ubiquitin-protein ligase SINAT3 (EC 6.3.2.-) (Seven in absentia homolog 3) (SINAT3) [Arabidopsis Thaliana] (GB:Q84JL3;GB:Q8LFQ3;GB:Q9M359); similar to seven in absentia (SINA) family protein [Arabidopsis thaliana] (TAIR:AT4G27880.1); similar to Zinc finger, RING-type; Seven in absentia protein [Medicago truncatula] (GB:ABE82758.1); contains InterPro domain TRAF-like; (InterPro:IPR008974); contains InterPro domain Seven in absentia protein; (InterPro:IPR004162); contains InterPro domain TRAF-type; (InterPro:IPR013322); contains InterPro domain SIAH-type; (InterPro:IPR013323); contains InterPro domain Zinc finger, SIAH-type; (InterPro:IPR013010); contains InterPro domain Zinc finger, RING-type; (InterPro:IPR001841)"
"Solyc00g304030",12,NA,NA
"Solyc00g304035",12,NA,NA
"Solyc00g311230",14,NA,NA
"Solyc00g322635",29,NA,NA
"Solyc01g005000",29,"AT2G02010","glutamate decarboxylase, putative; similar to GAD (Glutamate decarboxylase 1), calmodulin binding [Arabidopsis thaliana] (TAIR:AT5G17330.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT3G17760.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT2G02000.1); similar to glutamate decarboxylase 4b [Brassica juncea] (GB:AAS79671.1); similar to glutamate decarboxylase 4a [Brassica juncea] (GB:AAS79670.1); similar to glutamate decarboxylase isozyme 1 [Nicotiana tabacum] (GB:AAC24195.1); contains InterPro domain Glutamate decarboxylase; (InterPro:IPR010107); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"
"Solyc01g005010",6,NA,NA
"Solyc01g005060",29,"AT2G01940","May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells."
"Solyc01g005080",18,"AT2G01910","Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria."
"Solyc01g005100",32,"AT1G68080","oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; similar to Os03g0238700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049501.1); similar to hypothetical protein SwitDRAFT_3374 [Sphingomonas wittichii RW1] (GB:ZP_01607997.1); contains InterPro domain Prolyl 4-hydroxylase, alpha subunit; (InterPro:IPR006620)"
"Solyc01g005120",32,"AT1G14720","member of Glycoside Hydrolase Family 16"
"Solyc01g005140",3,NA,NA
"Solyc01g005220",4,"AT1G14780","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G24290.2); similar to Membrane attack complex component/perforin/complement C9 [Medicago truncatula] (GB:ABE92593.1); similar to Os06g0251100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057295.1); similar to Os02g0736300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048052.1); contains InterPro domain Membrane attack complex component/perforin/complement C9; (InterPro:IPR001862)"
"Solyc01g005240",36,"AT5G14060","lysine-sensitive aspartate kinase"
"Solyc01g005280",19,"AT1G14820","SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"
"Solyc01g005400",18,"AT1G70670","caleosin-related family protein; similar to caleosin-related family protein [Arabidopsis thaliana] (TAIR:AT1G70680.1); similar to Os06g0254700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057304.1); similar to putative ABA-induced protein [Cynodon dactylon] (GB:AAS48644.1); contains InterPro domain Caleosin related; (InterPro:IPR007736); contains InterPro domain EF-Hand type; (InterPro:IPR011992)"
"Solyc01g005570",26,"AT1G55340","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G03880.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAV67822.1); similar to Os03g0807200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051641.1); contains InterPro domain Protein of unknown function DUF1639; (InterPro:IPR012438)"
