ITAG	logFC	logCPM	LR	PValue	FDR	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc01g068360	1.044153329	3.089066778	13.30985217	0.000264015	0.027692142	"Receptor like kinase, RLK"	AT3G03770	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G14210.1); similar to putative brassinosteroid LRR receptor kinase protein [Oryza sativa (japonica cultivar-group)] (GB:BAC07439.1); similar to transmembrane protein kinase [Oryza sativa (japonica cultivar-group)] (GB:AAQ01159.1); similar to Protein kinase [Medicago truncatula] (GB:ABD28527.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090)"	51.59	754	0	703	91.84713376
Solyc01g068460	1.911575666	3.474961324	31.15269563	2.39E-08	9.68E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g079880	1.020112278	6.614641227	15.10628552	0.000101624	0.014836588	Asparagine synthetase (AHRD V1 *--- Q9ZST6_ARATH)	AT5G19140	AILP1	"auxin/aluminum-responsive protein, putative; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G43830.1); similar to aluminum-induced [Brassica napus] (GB:BAA25999.1); contains domain ASPARAGINE SYNTHETASE (PTHR11772); contains domain no description (G3D.3.60.20.10); contains domain N-terminal nucleophile aminohydrolases (Ntn hydrolases) (SSF56235)"	79.83	233	6.00E-112	399	97.89029536
Solyc01g080580	1.591640168	3.305271627	28.76993321	8.15E-08	0.000123902	Inosine-uridine preferring nucleoside hydrolase family protein (AHRD V1 **** D7LYI5_ARALY); contains Interpro domain(s)  IPR001910  Inosine/uridine-preferring nucleoside hydrolase 	AT5G18860	NA	inosine-uridine preferring nucleoside hydrolase family protein; similar to inosine-uridine preferring nucleoside hydrolase family protein [Arabidopsis thaliana] (TAIR:AT5G18890.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38028.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96887.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38027.1); contains InterPro domain Inosine/uridine-preferring nucleoside hydrolase; (InterPro:IPR001910)	58.23	857	0	936	95.06781751
Solyc01g080770	2.177007766	4.925425403	26.18271993	3.11E-07	0.000279047	"Receptor like kinase, RLK"	AT4G20270	BAM3	"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function."	62.56	967	0	1149	96.77419355
Solyc01g081570	1.613550974	5.710309244	20.76448563	5.19E-06	0.00209204	"Carboxyl-terminal peptidase (AHRD V1 ***- B6TV70_MAIZE); contains Interpro domain(s)  IPR004314  Protein of unknown function DUF239, plant "	AT1G55360	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G56530.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G13510.1); similar to Os07g0205500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059148.1); similar to Os07g0573400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060067.1); similar to Protein of unknown function DUF239, plant [Medicago truncatula] (GB:ABE82132.1); contains InterPro domain Protein of unknown function DUF239, plant; (InterPro:IPR004314)"	76.21	391	1.00E-180	629	91.54929577
Solyc01g091040	1.522004468	4.345858527	20.67261265	5.45E-06	0.002141125	Cysteine-rich repeat secretory protein 15 (AHRD V1 ***- CRR15_ARATH); contains Interpro domain(s)  IPR002902  Protein of unknown function DUF26 	AT3G60720	PDLP8	receptor-like protein kinase-related; similar to 33 kDa secretory protein-related [Arabidopsis thaliana] (TAIR:AT2G01660.1); similar to Os04g0537800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053427.1); similar to receptor-like protein kinase-like [Oryza sativa (japonica cultivar-group)] (GB:BAD25786.1); contains InterPro domain Protein of unknown function DUF26; (InterPro:IPR002902)	54.86	257	4.00E-56	214	84.66666667
Solyc01g091370	-1.027401277	5.222721924	12.14336722	0.000492628	0.041303836	AT-hook motif nuclear localized protein 1 (AHRD V1 ***- Q8VYJ2_ARATH); contains Interpro domain(s)  IPR005175  Protein of unknown function DUF296 	AT4G12080	AHL1	"DNA-binding family protein; similar to DNA-binding family protein [Arabidopsis thaliana] (TAIR:AT4G22770.1); similar to HMG-I and HMG-Y, DNA-binding [Medicago truncatula] (GB:ABE87426.1); contains InterPro domain Protein of unknown function DUF296; (InterPro:IPR005175); contains InterPro domain HMG-I and HMG-Y, DNA-binding; (InterPro:IPR000637)"	52.73	275	2.00E-58	222	79.93730408
Solyc01g091700	0.892356164	4.646217567	12.97761384	0.000315237	0.030624563	F-box protein PP2-B1 (AHRD V1 ***- PP2B1_ARATH); contains Interpro domain(s)  IPR001810  Cyclin-like F-box 	AT3G61060	AtPP2-A13	ATPP2-A13; similar to ATPP2-A12 (Phloem protein 2-A12) [Arabidopsis thaliana] (TAIR:AT1G12710.1); similar to Cyclin-like F-box; Galactose-binding like [Medicago truncatula] (GB:ABE86301.1); contains InterPro domain Cyclin-like F-box; (InterPro:IPR001810)	59.79	286	2.00E-101	365	98.61111111
Solyc01g097290	1.04822873	5.550269985	13.13962037	0.000289116	0.029053691	Auxin responsive protein (AHRD V1 ***- D9IQE6_CATRO); contains Interpro domain(s)  IPR003311  AUX/IAA protein 	AT3G04730	IAA16	early auxin-induced (IAA16)	69.57	253	2.00E-88	322	94.04761905
Solyc01g097520	0.908331806	5.65686255	12.66898447	0.000371771	0.034263716	"Annexin 11 (AHRD V1 ***- D6QX28_SOYBN); contains Interpro domain(s)  IPR009118  Annexin, type plant "	AT2G38750	ANNAT4	Annexins are a family of calcium dependent membrane binding proteins though to be involved in Golgi mediated secretion. This is one of four annexins identified in Arabidopsis.	50.8	313	3.00E-79	291	96.84542587
Solyc01g098500	1.003072874	3.748968252	16.76651101	4.23E-05	0.008006592	Glucose transporter 8 (AHRD V1 ***- Q2KKJ3_SOLIN); contains Interpro domain(s)  IPR003663  Sugar/inositol transporter 	AT1G54730	NA	"sugar transporter, putative; Identical to Sugar transporter ERD6-like 5 [Arabidopsis Thaliana] (GB:Q3ECP7;GB:Q8H197;GB:Q940K3;GB:Q9ZVM0); similar to sugar transporter, putative [Arabidopsis thaliana] (TAIR:AT2G48020.1); similar to putative sugar transporter [Solanum lycopersicum] (GB:CAC00697.2); contains InterPro domain Sugar transporter; (InterPro:IPR003663); contains InterPro domain Major facilitator superfamily; (InterPro:IPR007114); contains InterPro domain Major facilitator superfamily MFS_1; (InterPro:IPR011701)"	50.6	417	5.00E-123	438	90.04329004
Solyc01g098520	0.912425922	3.943656751	14.60252097	0.000132737	0.018241224	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g102310	1.754994453	6.618542727	13.77192489	0.000206398	0.02393759	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g102340	0.783589202	3.55442143	11.59168634	0.000662473	0.048854145	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g103530	1.487214294	5.937691725	20.11586851	7.29E-06	0.002449889	"Receptor like kinase, RLK"	AT4G20270	BAM3	"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function."	57.22	977	0	1010	95.48192771
Solyc01g103780	0.857234502	4.988312495	13.11263575	0.000293311	0.029361185	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g103785	0.788243179	3.906745275	12.84118405	0.000339073	0.032504742	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g104950	1.191234522	6.502188335	11.63498077	0.00064723	0.048620418	"Alpha-L-arabinofuranosidase/beta-D-xylosidase (AHRD V1 **** D9D7L0_MALDO); contains Interpro domain(s)  IPR001764  Glycoside hydrolase, family 3, N-terminal "	AT5G64570	ATBXL4	Encodes a beta-d-xylosidase that belongs to family 3 of glycoside hydrolases.	66.8	750	0	1032	95.25032092
Solyc01g105720	1.313422866	6.126152669	13.13949759	0.000289135	0.029053691	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g106690	1.053754585	4.361288868	13.64536476	0.000220786	0.024822435	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g107650	1.002563923	5.165172437	16.82936421	4.09E-05	0.007801871	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g107670	1.085905838	3.979773094	18.3984228	1.79E-05	0.004762728	"LRR receptor-like serine/threonine-protein kinase, RLP"	AT2G15320	NA	"leucine-rich repeat family protein; similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT5G66330.1); similar to Os02g0647300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047577.1); similar to brassinosteroid receptor [Pisum sativum] (GB:BAC99050.1); similar to Os01g0818700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044633.1); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090)"	60	370	3.00E-109	392	95.03916449
Solyc01g109460	0.986767433	5.231457377	14.77189676	0.00012133	0.017081621	"Solute carrier family 2, facilitated glucose transporter member 3 (AHRD V1 ***- GTR3_RAT); contains Interpro domain(s)  IPR003663  Sugar/inositol transporter "	AT3G18830	ATPLT5	"This gene encodes a plasma membrane-localized polyol/cyclitol/monosaccharide-H+-symporter. The AtPLT5 symporter is able to catalyze the energy-dependent membrane passage of a wide range of linear polyols (three to six carbon backbone), of cyclic polyols (<i>myo</i>-inositol), and of numerous monosaccharides, including pyranose ring-forming and furanose ring-forming hexoses and pentoses. This gene belongs to a monosaccharide transporter-like (MST-like) superfamily."	68.15	496	0	672	90.95940959
Solyc01g109500	1.200072327	4.382101561	30.31356442	3.68E-08	9.68E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g005185	-2.027997996	1.423889268	12.74527572	0.00035691	0.03366388	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g021260	-0.658652596	4.829954777	11.77029558	0.000601834	0.046639707	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g024070	0.967292362	5.99085806	13.92558924	0.000190191	0.023019556	Class III homeodomain-leucine zipper (AHRD V1 ***- Q1WD30_GINBI); contains Interpro domain(s)  IPR013978  MEKHLA 	AT2G34710	ATHB-14	"Dominant PHB mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain. Has overlapping functions with PHAVOLUTA, REVOLUTA and CORONA."	78.55	839	0	1328	97.76995305
Solyc02g031740	4.891296711	1.0085362	17.09053154	3.56E-05	0.007275219	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g036377	-1.848561274	2.641939848	11.94958579	0.000546595	0.044007459	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g036393	-4.064047805	4.853218042	11.88489602	0.00056591	0.044711933	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g037495	2.339612088	2.886731781	13.29513648	0.000266095	0.027799586	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g043815	-2.416184973	4.790993848	15.44527786	8.49E-05	0.013633675	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g062340	1.65486667	6.837368748	13.31041897	0.000263935	0.027692142	"Fructose-bisphosphate aldolase (AHRD V1 ***- Q9SXX4_NICPA); contains Interpro domain(s)  IPR000741  Fructose-bisphosphate aldolase, class-I "	AT4G38970	FBA2	"fructose-bisphosphate aldolase, putative; similar to fructose-bisphosphate aldolase [Arabidopsis thaliana] (TAIR:AT2G21330.2); similar to chloroplast latex aldolase-like protein [Manihot esculenta] (GB:AAV74407.1); contains InterPro domain Fructose-bisphosphate aldolase, class-I; (InterPro:IPR000741)"	86.43	398	0	714	99.49494949
Solyc02g063030	1.394962804	4.555363566	18.28021816	1.91E-05	0.004921522	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g071720	1.968274995	5.913755787	15.7289394	7.31E-05	0.012027693	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g077950	1.230510414	4.233078377	29.46130784	5.70E-08	0.000112584	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g078150	1.260227983	5.189778036	22.05457148	2.65E-06	0.001368012	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g078740	1.012686156	4.125822968	16.20700841	5.68E-05	0.009966288	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g078750	1.012686156	4.125822968	16.20700841	5.68E-05	0.009966288	Receptor protein kinase (AHRD V1 **** Q40096_IPOTF); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 	AT4G03230	NA	"S-locus lectin protein kinase family protein; similar to S-locus lectin protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G11330.1); similar to ARK3 (Arabidopsis Receptor Kinase 3), kinase [Arabidopsis thaliana] (TAIR:AT4G21380.1); similar to receptor protein kinase [Ipomoea trifida] (GB:AAC23542.1); contains InterPro domain Apple-like; (InterPro:IPR003609); contains InterPro domain S-locus glycoprotein; (InterPro:IPR000858); contains InterPro domain Curculin-like (mannose-binding) lectin; (InterPro:IPR001480); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain PAN-like, type 2; (InterPro:IPR013227); contains InterPro domain EGF-like, type 3; (InterPro:IPR000742); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"	55.03	487	1.00E-138	490	99.3697479
Solyc02g079510	1.117844612	2.517172799	20.8129423	5.06E-06	0.00209204	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g080230	-1.066524131	4.138274532	15.74142902	7.26E-05	0.01202369	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g080520	1.041103065	3.746252677	12.54221315	0.000397861	0.035506716	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g080530	1.771226671	6.855585475	20.77519112	5.16E-06	0.00209204	"Peroxidase (AHRD V1 **** C7DYB2_9ERIC); contains Interpro domain(s)  IPR002016  Haem peroxidase, plant/fungal/bacterial "	AT4G21960	PRXR1	Encodes AT4g21960 (AT4g21960/T8O5_170).	84.59	305	1.00E-156	549	92.96636086
Solyc02g080880	1.000674852	4.956135159	13.91282736	0.000191487	0.023019556	Aspartic proteinase (AHRD V1 **-* Q8L6A8_THECC); contains Interpro domain(s)  IPR001461  Peptidase A1 	AT1G11910	APA1	"aspartyl protease family protein; similar to pepsin A [Arabidopsis thaliana] (TAIR:AT1G62290.2); similar to aspartyl protease family protein [Arabidopsis thaliana] (TAIR:AT4G04460.1); similar to aspartic protease (GB:AAB03108.1); similar to Aspartic proteinase precursor (GB:O04057); similar to aspartic proteinase [Theobroma cacao] (GB:CAC86004.1); contains InterPro domain Saposin-like; (InterPro:IPR011001); contains InterPro domain Saposin B subdomain; (InterPro:IPR008140); contains InterPro domain Peptidase A1, pepsin; (InterPro:IPR001461); contains InterPro domain Saposin B; (InterPro:IPR008139); contains InterPro domain Peptidase aspartic, catalytic; (InterPro:IPR009007); contains InterPro domain Saposin-like type B, 2; (InterPro:IPR008138); contains InterPro domain Peptidase aspartic, active site; (InterPro:IPR001969); contains InterPro domain Saposin; (InterPro:IPR008373); contains InterPro domain Saposin-like type B, 1; (InterPro:IPR007856)"	76.62	509	0	794	94.76635514
Solyc02g080900	1.094480525	3.568822822	13.75106783	0.000208702	0.02409869	Genomic DNA chromosome 5 TAC clone K6A12 (AHRD V1 **-- Q9FGR6_ARATH)	AT1G11915	NA	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G17350.1); similar to Os05g0409100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055526.1); similar to Os06g0364500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057608.1)	63.53	329	4.00E-111	397	98.75
Solyc02g081190	1.173328101	4.466758608	15.33813572	8.99E-05	0.013986119	1-aminocyclopropane-1-carboxylate oxidase (AHRD V1 ***- Q9ZWP2_SOLLC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase 	AT1G05010	ACO4	Encodes 1-aminocyclopropane-1-carboxylate oxidase	75	324	7.00E-131	463	99.37694704
Solyc02g084390	1.363028891	4.014177535	18.6168538	1.60E-05	0.004382391	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g084950	2.538098018	5.964363506	20.14366376	7.18E-06	0.002449889	Carboxyl methyltransferase 4 (AHRD V1 **** B0ZB58_HUMLU); contains Interpro domain(s)  IPR005299  SAM dependent carboxyl methyltransferase 	AT4G36470	NA	"S-adenosyl-L-methionine:carboxyl methyltransferase family protein; similar to JMT (JASMONIC ACID CARBOXYL METHYLTRANSFERASE), jasmonate O-methyltransferase [Arabidopsis thaliana] (TAIR:AT1G19640.1); similar to putative S-adenosyl-L-methionine:jasmonic acid carboxyl methyltransferase [Oryza sativa (japonica cultivar-group)] (GB:BAB64171.1); contains InterPro domain SAM dependent carboxyl methyltransferase; (InterPro:IPR005299)"	57.8	372	2.00E-127	452	98.92183288
Solyc02g086460	1.485277462	4.313262232	14.67672603	0.000127612	0.017870478	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g086463	1.271638687	3.627843511	16.51584737	4.82E-05	0.008882169	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g087000	0.813018816	3.669411509	15.08887166	0.000102566	0.014836588	"Potassium transporter (AHRD V1 **** D2JYH2_GOSHI); contains Interpro domain(s)  IPR018519  Potassium uptake protein, kup  IPR003855  K+ potassium transporter "	AT5G14880	NA	"potassium transporter, putative; Identical to Potassium transporter 8 (AtPOT8) (AtHAK8) (POT8) [Arabidopsis Thaliana] (GB:Q9M7J9;GB:Q9LEQ2); similar to KT2 (POTASSIUM TRANSPORTER 2) [Arabidopsis thaliana] (TAIR:AT2G40540.2); similar to KUP3 (K+ uptake permease 3), potassium ion transporter [Arabidopsis thaliana] (TAIR:AT3G02050.1); similar to KUP6 (K+ uptake permease 6), potassium ion transporter [Arabidopsis thaliana] (TAIR:AT1G70300.1); similar to putative potassium transporter HAK1p [Mesembryanthemum crystallinum] (GB:AAK53758.1); similar to putative high-affinity potassium transporter protein 1 [Nicotiana tabacum] (GB:ABI14646.1); similar to putative high-affinity potassium transporter protein [Phytolacca acinosa] (GB:AAX13997.1); contains InterPro domain K+ potassium transporter; (InterPro:IPR003855)"	76.49	774	0	1176	98.45360825
Solyc02g088100	0.961940736	5.388955488	12.06138296	0.000514771	0.042342986	"Expansin (AHRD V1 ***- Q9ZP31_SOLLC); contains Interpro domain(s)  IPR007112  Expansin 45, endoglucanase-like  IPR007117  Pollen allergen/expansin, C-terminal "	AT2G03090	ATEXP15	"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana."	75.81	248	3.00E-97	351	99.16666667
Solyc02g089020	-1.253303407	4.847623235	25.44015043	4.56E-07	0.000339895	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g089250	1.07511655	4.369851131	17.72404684	2.55E-05	0.005795976	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g091560	0.817719637	6.028273993	12.07655753	0.000510598	0.042272046	Serine hydroxymethyltransferase (AHRD V1 **** C6ZJZ0_SOYBN); contains Interpro domain(s)  IPR001085  Serine hydroxymethyltransferase 	AT4G37930	SHM1	"Encodes a protein with mitochondrial serine hydroxymethyltransferase activity, which functions in the photorespiratory pathway, catalyzes the conversion of serine and tetrahydrofolate to glycine and 5,10-methylene tetrahydrofolate.  Involved in controlling cell damage caused by abiotic stress, such as high light and salt and the hypersensitive defense response of plants."	89.58	518	0	956	99.61464355
Solyc02g091690	0.940029916	3.847843201	13.04314209	0.000304397	0.030014454	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g091930	1.299823316	4.154133584	20.76910048	5.18E-06	0.00209204	"Homeobox-leucine zipper protein 22 (AHRD V1 ***- D7MA03_ARALY); contains Interpro domain(s)  IPR003106  Leucine zipper, homeobox-associated "	AT4G37790	HAT22	Encodes homeobox protein HAT22.	59.09	286	3.00E-77	285	99.25650558
Solyc02g092145	0.791183073	4.274456231	14.11249948	0.000172196	0.021587604	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g092370	2.042948303	5.891041827	20.7676533	5.19E-06	0.00209204	GRAS family transcription factor (AHRD V1 **-- B9NAS9_POPTR); contains Interpro domain(s)  IPR005202  GRAS transcription factor 	AT4G37650	SGR7	Involved in radial organization of the root and shoot axial organs. Essential for normal shoot gravitropism. The protein moves in a highly specific manner from the cells of the stele in which it is synthesized outward.	59.66	533	2.00E-159	558	99.60629921
Solyc02g092590	1.590720642	4.710543437	20.33519278	6.50E-06	0.002362949	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc03g005960	1.964759455	6.314376075	20.31976397	6.55E-06	0.002362949	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc03g007760	1.613183173	3.732697014	22.17988669	2.48E-06	0.001307194	"Cell division protease ftsH (AHRD V1 *--- FTSH_SHIFL); contains Interpro domain(s)  IPR003959  ATPase, AAA-type, core "	AT4G28000	NA	"AAA-type ATPase family protein; similar to AAA-type ATPase family protein [Arabidopsis thaliana] (TAIR:AT1G64110.2); similar to ATP binding / nucleoside-triphosphatase/ nucleotide binding [Arabidopsis thaliana] (TAIR:AT5G52882.1); similar to AAA ATPase, central re (GB:ABE83074.1); similar to AAA ATPase, central re (GB:ABE87117.1); similar to AAA ATPase, central re (GB:ABE79750.1); contains InterPro domain AAA-protein subdomain; (InterPro:IPR003960); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)"	70.6	806	0	1035	96.37243047
Solyc03g013430	-1.237559138	5.994927167	13.25206443	0.00027228	0.028001217	NA	NA	NA	NA	NA	NA	NA	NA	NA
